R_fighter,B_fighter,R_odds,B_odds,date,location,weight_class,reach_dif,height_dif,age_dif,sig_str_dif,avg_td_dif,avg_sub_att_dif,win_streak_dif,longest_win_streak_dif,lose_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,R_Height_cms,R_Reach_cms,R_age,B_Height_cms,B_Reach_cms,B_age
Raul Rosas Jr,Raoni Barcelos,1.62,2.37,2026-09-26,"Las Vegas, Nevada, USA",Bantamweight,7.819999999999993,7.819999999999993,-11.0,-1.42,-1.0200000000000002,-0.09999999999999998,-3.0,-4.0,0.0,-4.0,-2.0,-20.0,0.0,-1.0,-1.0,178.0,178.0,28.0,170.18,170.18,39.0
Rodolfo Vieira,Robert Bryczek,1.65,2.32,2026-09-26,"Las Vegas, Nevada, USA",Middleweight,-5.0800000000000125,0.0,1.0,-0.1900000000000004,2.14,0.9,1.0,2.0,-1.0,6.0,2.0,17.0,0.0,0.0,5.0,182.88,185.42,37.0,182.88,190.5,36.0
Mehemmedeli Osmanli,Ilimbek Akylbek,1.36,3.31,2026-09-26,"Las Vegas, Nevada, USA",Bantamweight,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,178.0,22.0,178.0,178.0,28.0
Melissa Amaya,Valesca Machado,2.89,1.44,2026-09-26,"Las Vegas, Nevada, USA",Women's Strawweight,17.97999999999999,15.439999999999998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,178.0,31.0,162.56,160.02,30.0
Rinya Nakamura,Brady Hiestand,1.26,4.09,2026-09-26,"Las Vegas, Nevada, USA",Bantamweight,-7.6200000000000045,-2.539999999999992,4.0,0.5699999999999998,-2.2199999999999998,0.2999999999999998,-2.0,3.0,1.0,3.0,0.0,3.0,1.0,1.0,1.0,170.18,172.72,31.0,172.72,180.34,27.0
Rodolfo Bellato,Christian Edwards,1.56,2.53,2026-09-26,"Las Vegas, Nevada, USA",Light Heavyweight,12.5,12.5,3.0,1.87,0.17999999999999994,-0.3,0.0,1.0,1.0,-3.0,0.0,-2.0,0.0,1.0,-1.0,190.5,190.5,30.0,178.0,178.0,27.0
Josiah Harrell,Elves Brenner,1.8,2.07,2026-09-26,"Las Vegas, Nevada, USA",Lightweight,-5.280000000000001,-7.819999999999993,-1.0,-1.1800000000000002,-1.2,-0.5,0.0,-1.0,0.0,-5.0,-2.0,-15.0,0.0,-1.0,-1.0,170.18,172.72,27.0,178.0,178.0,28.0
Montel Jackson,Ricky Simon,1.47,2.81,2026-09-26,"Las Vegas, Nevada, USA",Bantamweight,15.240000000000009,10.160000000000025,0.0,0.06000000000000005,-1.4900000000000002,0.0,6.0,1.0,-1.0,-1.0,-4.0,-18.0,0.0,2.0,-2.0,177.8,190.5,34.0,167.64,175.26,34.0
Ailin Perez,Norma Dumont,1.68,2.26,2026-09-26,"Las Vegas, Nevada, USA",Women's Bantamweight,-2.5400000000000205,-5.0800000000000125,-4.0,-1.0100000000000002,3.3400000000000003,0.2,0.0,0.0,0.0,-3.0,-1.0,-15.0,0.0,0.0,1.0,165.1,167.64,31.0,170.18,170.18,35.0
John Castaneda,Heili Alateng,1.27,3.94,2026-09-26,"Las Vegas, Nevada, USA",Bantamweight,2.3400000000000034,-10.360000000000014,6.0,1.65,-1.82,0.1,-2.0,0.0,1.0,3.0,3.0,15.0,0.0,1.0,1.0,167.64,180.34,34.0,178.0,178.0,28.0
Luis Hernandez,Sedriques Dumas,1.41,3.05,2026-09-26,"Las Vegas, Nevada, USA",Middleweight,-22.659999999999997,-9.960000000000008,-1.0,1.5,-0.14000000000000012,0.3,0.0,-1.0,-1.0,1.0,-1.0,0.0,0.0,1.0,0.0,178.0,178.0,30.0,187.96,200.66,31.0
Yazmin Jauregui,Vanessa Demopoulos,1.11,7.48,2026-09-26,"Las Vegas, Nevada, USA",Women's Strawweight,12.699999999999989,2.5400000000000205,-11.0,3.2699999999999996,-0.32,-0.4,1.0,-1.0,-2.0,-2.0,-4.0,-17.0,0.0,1.0,-1.0,160.02,162.56,27.0,157.48,149.86,38.0
